Title,Label
گرفتن اسکرین‌شات از عکس پروفایل کاربران در واتساپ متوقف شد,فناوری
اگر موبایل‌ به آب افتاد آن را داخل برنج بگذاریم یا نه؟ اپل بالاخره پاسخ داد,فناوری
رونق جدید اقتصادی در آمریکا «در نتیجه استفاده بیشتر از ربات‌ها»,فناوری
مارک زاکربرگ: گجت پوشیدنی ذهن‌خوان متا به واقعیت نزدیک‌‌تر شده است,فناوری
میثم سالاری: اینستاگرام ایران را تحریم کرده است,فناوری
ایلان ماسک: دریافت‌کننده تراشه مغزی نورالینک تنها با فکر کردن می‌تواند ماوس را حرکت دهد,فناوری
دستاورد دانشمندان ایرانی: طراحی تراشه‌ غیرقابل هک که انجام محاسبات هوش مصنوعی با نور را ممکن می‌کند,فناوری
در ‏مصوبه مشهور به «ایجاد پوسته برای پلتفرم‌های خارجی» برای اولین بار صراحتاً استفاده از فیلترشکن ممنوع شده / بعید است این مصوبه موجب تغییر در وضع دسترسی به تلگرام و توییتر و.. شود,فناوری
منظور از «پوسته» در مصوبه شورایعالی فضای مجازی، ارایه نسخه‌های غیررسمی‌ست که با واسطه به سرویس‌دهنده اصلی متصل می شود، چیزی مشابه تلگرام طلایی و نسخه‌های غیررسمی تلگرام / چنین کاری امنیت اطلاعات کاربر را در معرض خطرهای مختلفی قرار می دهد,فناوری
توافق غول‌های فناوری برای مبارزه با تاثیر مخرب هوش‌ مصنوعی بر انتخابات کشورها,فناوری
بلومبرگ: با نسل دوم اپل ویژن پرو حداقل ۱۸ ماه فاصله داریم,فناوری
آی بیمه؛ یک استارتاپ بیمه‌ای با حمایت همراه اول,فناوری
دسترسیِ بدون فیلتر به تلگرام از طریق «پوسته‌های جایگزین» خطرناک است؛ می‌توانند اطلاعات کاربر را به سرور‌های خود منتقل کنند,فناوری
حضور همراه اول در نمایشگاه رسانه‌های ایران,فناوری
پیامک‌های ارسال‌شده در اندروید ویرایش‌پذیر می‌شوند,فناوری
شاهکار جدید OpenAI برای تولید ویدیو از متن؛ مدل هوش مصنوعی Sora معرفی شد,فناوری
پیام رسان ایتا برای دومین بار طی یک هفته اخیر دچار قطعی شد,فناوری
افتتاح سایت‌های 5G و روستایی همراه اول در مازندران با دستور وزیر ارتباطات,فناوری
دو‌سوم ایرانی‌ها از وی‌پی‌ان استفاده می‌کنند,فناوری
آغاز دومین جشنواره ایده تا محصول صنعت ارتباطات همراه اول,فناوری
مایکروسافت: دشمنان آمریکا استفاده از هوش مصنوعی مولد در حملات سایبری را آغاز کرده‌اند,فناوری
تصویر کل خانواده آیفون ۱۶ لو رفت؛ بازطراحی بزرگ در راه گوشی‌های اپل,فناوری
سازنده «چت جی‌پی‌تی»: باید نگران ورود هوش مصنوعی به «مسیر اشتباه» باشیم / باید نهادی مشابه آژانس بین‌المللی انرژی اتمی برای نظارت روی هوش مصنوعی ایجاد شود,فناوری
ارائه بسته ویژه اعیاد شعبانیه توسط همراه اول,فناوری
استقبال گرم از نخستین فضانورد ترکیه پس از بازگشتش به زمین,فناوری
اپل ویژن پرو چهار نسل تا بی‌نقص شدن فاصله دارد,فناوری
چین باعث سقوط باورنکردنی غول ژاپنی شد,فناوری
هدست پیشرفته هواوی با وزن بسیار کمتر از ویژن پرو در راه است,فناوری
مشخصات کلیدی شیائومی ۱۴ اولترا لو رفت,فناوری
درباره رویداد ملی دانش‌آموزی کی‌برد با محوریت بازی‌سازی,فناوری
اینستاگرام و تردز به‌زودی پیشنهاد محتواهای سیاسی را متوقف می‌کنند,فناوری
اختلال در پیام رسان ایتا؛ امکان ارسال پیام وجود ندارد / مدیرعامل ایتا: چند پورت‌ شبکه دچار مشکل شده؛ مشکل چندان جدی نیست,فناوری
ایلان ماسک: تا چند ماه دیگر برای تماس و ارسال پیامک فقط از ایکس استفاده خواهم کرد,فناوری
اپل ویژن پرو پیکسل‌های هم‌اندازه گلبول‌های قرمز دارد,فناوری
سیارات در بدو تشکیل «مثل اسمارتیز تخت هستند»,فناوری
اولگ کونوننکو، فضانورد روسی رکورد اقامت در فضا را شکست,فناوری
روزه دوپامین؛ چگونه می‌توان از اینستاگرام، تیک‌تاک و گوشی‌های همراه فاصله گرفت؟,فناوری
افتتاح دو سایت 5G همراه اول در یزد توسط وزیر ارتباطات,فناوری
ربات‌های کمک‌رسان به بیماران در بیمارستان‌ها مستقر می‌شوند,فناوری
۱۰ درصد از کارکنان اسنپ چت اخراج می‌شوند,فناوری
ایران؛ سومین کشور متضرر از قطع اینترنت در جهان / روسیه صدرنشین است,فناوری
در کلیت همه این وضعیت اینترنت را قبول کردیم، چاره‌ای هم نداریم/اینترنت ایران یک اینترنت پراختلال است/محکوم به استفاده از اینترنت فعلی هستیم؛ بار‌ها صحبت شده و نتیجه نداده/انگار می‌خواهند کسب و کار‌ها را در سطح پایین نگه دارند/اخبار در حوزه اینترنت و حجم اقتصاد دیجیتال، خود من را هم نسبت به ادامه راه سست کرده/شاید برای دولت، سرعت اینترنت، فیلترینگ و مهاجرت نیروی انسانی مهم نیست,فناوری
نقش موثر اپراتورهای موبایل در توسعه مراکز نوآوری کشور,فناوری
اپل ویژن پرو وارد ایران شد؛ از ۲۵۰ میلیون تا ۳۵۰ میلیون,فناوری
رویای قهرمانی/پخش زنده دیدار تیم ملی فوتبال ایران و ژاپن در آیگپ,فناوری
مسابقهٔ سینما بله,فناوری
طولانی‌ترین پل معلق جهان؛ ایتالیا با پروژه ۱۱ میلیارد یورویی از ترکیه و ژاپن پیشی می‌گیرد,فناوری
چین به جنگ مستقیم نورالینک ایلان ماسک می‌رود؛ ساخت تراشه مغزی تا سال ۲۰۲۵,فناوری
چند دامنه فارسی به ثبت رسیده است؟,فناوری
ارائه بسته‌های ویژه همراه اول به مناسبت دهه فجر,فناوری
استفاده از «چت‌جی‌پی‌تی» در خودروهای پژو,فناوری
برگزاری کنفرانس مدیریت فناوری و نوآوری با مشارکت همراه اول,فناوری
این خودرو جیپ ۲۰۲۵ است؛ مشکیِ خشن با تکنولوژی‌های هیجان‌انگیز,فناوری
اولین نقدهای هدست ویژن پرو منتشر شد؛ نوآورانه‌ترین محصول اپل از زمان اولین آیفون,فناوری
آغاز دور جدید حراج شماره‌های رند همراه اول,فناوری
تاریخ‌سازی ایلان ماسک؛ کاشت اولین تراشه نورالینک در مغز انسان,فناوری
افتتاح برج نوآوری پارک علم‌وفناوری دانشگاه شهید بهشتی با مشارکت همراه اول,فناوری
جهان خودرو؛ رونمایی از دومین مدل الکتریکی پورشه,فناوری
برگزاری دور دوم هکاتون 5G همراه اول,فناوری
۵ اختراع برتر ایلان ماسک در زمینه فناوری,فناوری
پایان ماموریت اینجنیوتی؛ هلی‌کوپتر مریخی ناسا دیگر پرواز نخواهد کرد,فناوری
اکسیر جوانی در بدن انسان کشف شد,فناوری
شمارش معکوس برای آغاز سفر شبیه‌سازی شده به مریخ؛ یک دانشمند ایرانی هم در این ماموریت حضور دارد,فناوری
شرکت ارتباطات زیرساخت: وضعیت در تمامی لینک‌های اینترنت بین‌الملل نرمال شد,فناوری
اختلال در اینترنت؛ قطع مجدد فیبرنوری در گرجستان,فناوری
ایلان ماسک: یک میلیارد ربات انسان نما جهان را تسخیر می‌کنند,فناوری
بله با ۱۵ میلیون تماس در ماه!,فناوری
بسته‌های ویژه همراه اول به مناسبت روز پدر,فناوری
پوشش 5G تا پایان سال آینده به 10 درصد جمعیت شهری می‌رسد,فناوری
برگزاری اختتامیه نخستین هکاتون 5G همراه اول با تقدیر از تیم‌های برتر,فناوری
مدیرعامل آیگپ: امور خیرخواهانه باید به سمت راهکارهای نوین حرکت کند,فناوری
وضعیت اینترنت به حالت عادی بازگشت؛ قطعی فیبرنوری در کشور گرجستان برطرف شد,فناوری
آیا گوشی آب خورده شیائومی قابل تعمیر است؟,فناوری
سازمان فضایی: نخستین سیگنال ماهوارهٔ ثریا با موفقیت به زمین مخابره شد,فناوری
بریتانیا برای اولین‌بار سلاح لیزری DragonFire (آتش اژدها) را جهت مقابله با پهپاد‌ها آزمایش کرد,فناوری
هم‌بنیان‌گذار دیپ‌مایند: هوش مصنوعی اساساً ابزاری برای جایگزینی با نیروی کار است,فناوری
اسناد مایکروسافت به سرقت رفت,فناوری
فرود فضاپیمای ژاپن بر سطح ماه,فناوری
دو ویژگی جدید که بی صدا به تلگرام اضافه شد!,فناوری
ویژگی جدید اینستاگرام و هشدار به نوجوانان شب‌بیدار: برنامه را ببند و بخواب!,فناوری
مدیر سابق OpenAI: هوش مصنوعی شاید آخرین فناوری ابداع‌شده توسط بشر باشد,فناوری
جذاب‌ترین کمپین جام ملت‌های آسیا ۲۰۲۳ با جوایزی نفیس,فناوری
آغاز عملیات اجرایی فیبر نوری دامغان به همت آسیاتک,فناوری
رؤیاپردازی ایلان ماسک برای استارشیپ: سفر به هر نقطه از زمین تنها در ۶۰ دقیقه,فناوری
هوش مصنوعی ادعا می‌کند اثر انگشت انسان‌ها منحصربه‌فرد نیست,فناوری
هشدار صندوق بین‌المللی پول: هوش مصنوعی بر ۴۰ درصد مشاغل در سراسر جهان تأثیر خواهد گذاشت,فناوری
برگزاری دومین هکاتون همراه اول,فناوری
محققان انتروپیک: هوش مصنوعی نیز مانند انسان می‌تواند فریبکاری را بیاموزد,فناوری
هشدار صندوق بین‌المللی پول: هوش مصنوعی بر ۴۰ درصد مشاغل در سراسر جهان تأثیر خواهد گذاشت,فناوری
رونمایی از بسته‌های ویژه رومینگ همراه اول به مناسبت جام ملت‌های آسیا 2023,فناوری
آیفون ۱۶ چگونه خواهد بود؟,فناوری
ایران رکوردار اختلال اینترنت در بین ۵۰ کشور دنیا شد,فناوری
بدترین ساعت ها در اینترنت ایران مشخص شد: ساعت های ۲۰ تا ۲۳ هر روز,فناوری
جهان خودرو؛ رونمایی مدل جدید هوندا با ظاهری نامتعارف,فناوری
دانشمند ایرانی در مأموریت ناسا برای شبیه‌سازی حضور در مریخ انتخاب شد,فناوری
ایلان ماسک از عرضه دیش قابل‌حمل استارلینک مینی تا اواخر ۲۰۲۴ خبر داد,فناوری
آغاز به کار لیگ پیش‌بینی جام ملت‌های آسیا در همراه‌من,فناوری
می‌خواهیم برند برتر در حوزه فناوری اطلاعات شویم,فناوری
پخش زنده مسابقات ورزشی با گزارش اختصاصی از آیگپ,فناوری
رانندگی از راه دور؛ فناوری جدید BMW خبرساز شد,فناوری
تشدید بحران در دریای سرخ؛ تولید خودروهای تسلا در کارخانه برلین متوقف شد,فناوری
ادعای یک شرکت چینی: توسعه باتری اتمی که می‌تواند گوشی شما را تا ۵۰ سال شارژ نگه دارد,فناوری
قاب‌های رنگی را دور بیندازید؛ این گوشی عجیب در لحظه تغییر رنگ می‌دهد,فناوری
ایسوس از لپ‌تاپ Zenbook Duo با دو نمایشگر ۱۴ اینچی رونمایی کرد,فناوری
تلسکوپ شاهکار بشر؛ جیمز وب در دو سالی که آینه‌هایش را گشود ما را تا کجای کیهان برد و چه آموخت؟,فناوری
روند تلکوبانک‌ها به سمت پرداخت‌های اعتباری است,فناوری
کشف ماده‌ای با کمک هوش مصنوعی که می‌تواند مصرف لیتیوم را در باتری کاهش دهد,فناوری
خون طلایی این اسرار علم را فاش می‌کند,فناوری
جهان خودرو؛ معرفی «بهترین ماشین‌های سال ۲۰۲۴ آمریکا»,فناوری
هکرها راه دسترسی بدون رمز عبور را به حساب‌های جی‌میل کشف کردند,فناوری
اولین ماه‌نورد آمریکایی پس از نیم قرن به فضا پرتاب شد,فناوری
شاخصی برای قضاوت قیمت اینترنت ایران؛ ارزانیم یا گران؟,فناوری
ناسا: سیارک «گمشده» امسال به زمین اصابت نمی‌کند,فناوری
دردسر برای اپل؛ گوشی جدید ایسوس مچ آیفون ۱۵ پرو مکس را خواباند,فناوری
حمایت همراه اول از طرح‌های فناورانه در حوزه اتصال‌پذیری و ارتباطات,فناوری
کاوشگر هندی برای رصد و مطالعه خورشید به مقصد نهایی خود رسید,فناوری
اندروید ۱۴ برای کدام گوشی‌های سامسونگ در دسترس است؟,فناوری
ژاپنی‌ها پروتئین ضد پیری را کشف کردند,فناوری
اولین اینترنت ماهواره‌ای برای تلفن همراه راه‌اندازی می‌شود,فناوری
۱۰ مورد از بدترین و ضعیف ترین گوشی های هوشمندی که تاکنون تولید شده اند,فناوری
رقابت ایلان ماسک و وارن بافت در صنعت خودرو؛ بی‌وای‌دی از تسلا پیشی گرفت,فناوری
از هوش مصنوعی تا طراحی و مشخصات؛ هر آنچه از سری گلکسی S۲۴ می‌دانیم,فناوری
آغاز فرآیند اجرایی دومین جشنواره ایده تا محصول صنعت ارتباطات,فناوری
ظرفیت خدمات اشتراکی محتوا تا دو سال آینده ۱۰ برابر می‌شود,فناوری
پرتاب ماهواره‌های جدید استارلینک/ اینترنت ماهواره‌ای روی گوشی‌های عادی,فناوری
دانشمند ارشد انویدیا: انقلاب ChatGPT تا حدود ۳ سال دیگر در حوزه رباتیک رقم می‌خورد,فناوری
ارائه بسته‌های ویژه ترکیبی همراه اول به‌مناسبت روز مادر,فناوری
افزایش ۳۴ درصدی تعرفه اینترنت چگونه محاسبه شد؟ / معاون سازمان تنظیم مقررات: نرخ تورم برای ما بسیار مهم بود,فناوری
ارزش «ایکس» سقوط کرد,فناوری
بسته اینترنت نامحدود شبانه همراه اول همچنان در دسترس است,فناوری
